序号    学号           情感词      文档编号            极性    所在上下文                                                                           置信度      
1       1140332052     评价        1.txt               pos     试驾长城c30有感评价                                                                   1          
2       1140332052     给力        1.txt               pos     是否给力                                                                              1          
3       1140332052     开阔        1.txt               pos     视野还是很开阔的                                                                      1          
4       1140332052     软          1.txt               pos     座椅很软                                                                              1          
5       1140332052     高          1.txt               pos     只是感觉座椅有点高                                                                    1          
6       1140332052     平缓        1.txt               pos     一挡起步很平缓                                                                        1          
7       1140332052     油          1.txt               neg     过会才有给油的反应                                                                    1          
8       1140332052     长          1.txt               pos     换到5挡将速度提到120感觉用的时间有点长                                                1          
9       1140332052     稳当        1.txt               pos     车身倒是挺稳当的                                                                      1          
10      1140332052     小          1.txt               pos     动静比较小                                                                            1          
11      1140332052     轻          1.txt               pos     掉头的时候感觉c30的方向盘还是很轻的                                                   1          
12      1140332052     大          1.txt               pos     只是车身的倾斜度有点大                                                                1          
13      1140332052     倾斜度      1.txt               pos     只是车身的倾斜度有点大                                                                1          
14      1140332052     厉害        1.txt               neg     车过减速带的时候感觉颠得厉害                                                          1          
15      1140332052     硬          1.txt               pos     应该是减震有点硬                                                                      1          
16      1140332052     减震        1.txt               neg     应该是减震有点硬                                                                      1          
17      1140332052     市区        1.txt               neg     总的来说呢c30比较适合在市区跑                                                         1          
18      1140332052     快          1.txt               pos     速度不会太快                                                                          1          
19      1140332052     太快        1.txt               pos     也不用太快                                                                            1          
20      1140332052     好          1.txt               pos     加速性很好                                                                            1          
21      1140332052     轻松        1.txt               pos     提速到120迈很轻松                                                                     1          
22      1140332052     稳          1.txt               pos     跟c30一样车身很稳                                                                     1          
23      1140332052     如何        1.txt               pos     不知道大家的c30动力性和舒适性如何啊                                                   1          
24      1140332052     舒适性      1.txt               pos     不知道大家的c30动力性和舒适性如何啊                                                   1          
25      1140332052     动力性      1.txt               pos     不知道大家的c30动力性和舒适性如何啊                                                   1          
26      1140332052     瑞          10.txt              pos     4v凯美瑞一箱油为何才跑400公里                                                         1          
27      1140332052     耗油        10.txt              pos     请各位高人指点为何这款车耗油这么大                                                    1          
28      1140332052     高人        10.txt              neg     请各位高人指点为何这款车耗油这么大                                                    1          
29      1140332052     很大        100.txt             neg     计算机存在问题：组装机的质量问题占了很大比例                                          1          
30      1140332052     占          100.txt             neg     计算机存在问题：组装机的质量问题占了很大比例                                          1          
31      1140332052     硬盘        100.txt             neg     以及主要配件（如硬盘                                                                  1          
32      1140332052     规定        100.txt             pos     内存条、CDROM）发生故障后商家不履行三包规定                                           1          
33      1140332052     商家        100.txt             pos     内存条、CDROM）发生故障后商家不履行三包规定                                           1          
34      1140332052     焦点        100.txt             pos     组装机的电源容易产生燃烧成为投诉的焦点                                                1          
35      1140332052     投诉        100.txt             neg     组装机的电源容易产生燃烧成为投诉的焦点                                                1          
36      1140332052     产生        100.txt             pos     组装机的电源容易产生燃烧成为投诉的焦点                                                1          
37      1140332052     实行        100.txt             pos     专家提醒：国家对电脑的硬盘、内存条等都明确实行三包                                    1          
38      1140332052     国家        100.txt             pos     专家提醒：国家对电脑的硬盘、内存条等都明确实行三包                                    1          
39      1140332052     拒绝        100.txt             pos     商家不得拒绝履行                                                                      1          
40      1140332052     正规        100.txt             pos     一定要向商家索要正规发票                                                              1          
41      1140332052     C           100.txt             pos     可通过国家质检局网站对3C认证进行查询确认                                              1          
42      1140332052     手舒        11.txt              pos     408手舒2                                                                              1          
43      1140332052     真实        11.txt              pos     求真实油耗408手舒2                                                                    1          
44      1140332052     好久        11.txt              pos     求真实油耗纠结了好久                                                                  1          
45      1140332052     喜欢        11.txt              pos     还是喜欢408可是每天往返40km                                                           1          
46      1140332052     最大        11.txt              pos     小8的油耗成了我的最大纠结网上说多少的都有                                             1          
47      1140332052     告诉        11.txt              pos     亲们快告诉我到底是多少吧说实话太高我就要去投奔别的车了                                1          
48      1140332052     办齐        11.txt              pos     0办齐14w                                                                              1          
49      1140332052     便宜        11.txt              pos     加了导航和皮座椅如果北京便宜的多就去北京买了谢谢各位                                  1          
50      1140332052     轻轻        12.txt              pos     感觉油门轻轻的                                                                        1          
51      1140332052     冷          12.txt              neg     冷车刚启动的时候还好                                                                  1          
52      1140332052     开个        12.txt              pos     开个几十公里就感觉油门轻了                                                            1          
53      1140332052     谢谢        12.txt              pos     谢谢                                                                                  1          
54      1140332052     新          13.txt              pos     新买的2013款新qq                                                                      1          
